id,neighborhood,house_style,lot_area,gr_liv_area,total_bsmt_sf,garage_area,year_built,year_remod,overall_qual,overall_cond,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,distance_to_downtown_km,school_rating,crime_index,median_income_area,has_pool,noise_1,noise_2,noise_3,sale_price,true_price_no_noise
1568,Downtown,2Story,11695.0,2506.0,1216.0,397.0,1959,1993,7,9,2,2,3,6,1,8.32,6.0,58.7,92.0,False,-1.36,0.573,94.0,459200.0,477385.0
1569,Riverside,1Story,6299.0,2425.0,18.0,306.0,1947,1956,2,2,1,1,3,3,1,0.57,8.0,32.7,91.8,False,-1.822,0.762,39.0,351400.0,343295.0
1570,Riverside,1Story,13003.0,1850.0,1141.0,707.0,2006,2025,4,5,2,2,4,5,1,15.56,7.0,22.5,57.2,True,0.12,0.887,22.0,385200.0,380304.0
1571,Hillcrest,1Story,13434.0,2411.0,706.0,600.0,1983,2000,7,6,1,0,3,6,0,7.43,2.0,1.1,98.1,False,-0.629,0.549,79.0,440500.0,442920.0
1572,Riverside,SplitLevel,10546.0,1481.0,1327.0,484.0,1976,1980,2,8,1,2,5,5,1,0.42,2.0,44.7,64.5,False,0.116,0.475,37.0,304800.0,314807.0
1573,Riverside,2Story,5749.0,849.0,1121.0,695.0,1980,1985,4,6,2,0,3,6,1,8.08,8.0,27.3,40.2,False,-0.204,0.375,41.0,301600.0,301154.0
1574,Suburbia,1Story,3770.0,1481.0,219.0,473.0,2025,2026,9,8,3,0,5,7,0,0.96,10.0,39.2,60.3,False,-0.07,0.595,73.0,333500.0,327946.0
1575,Downtown,SplitLevel,11821.0,1407.0,1063.0,361.0,1986,1990,5,8,3,2,4,6,0,11.79,8.0,37.4,73.9,False,1.202,0.145,22.0,351600.0,368969.0
1576,Lakeside,2Story,8425.0,1502.0,1038.0,0.0,2002,2022,6,8,3,1,3,7,1,4.0,9.0,46.7,56.4,True,1.054,0.467,26.0,405500.0,397906.0
1577,Suburbia,SplitLevel,6243.0,1322.0,1103.0,443.0,1904,1906,7,7,1,1,6,6,0,6.31,10.0,38.3,70.6,False,0.369,0.509,71.0,352100.0,330558.0
1578,Suburbia,2Story,12219.0,1596.0,1192.0,583.0,1991,1991,4,10,1,0,5,7,0,10.39,10.0,27.9,77.7,False,-0.895,0.629,82.0,368700.0,369458.0
1579,Old Town,1Story,5994.0,2191.0,1578.0,682.0,1940,1965,9,1,3,1,4,9,2,6.33,8.0,45.1,75.4,False,-0.551,0.069,18.0,420900.0,404793.0
1580,Suburbia,2Story,6985.0,2793.0,1124.0,464.0,1915,1925,1,5,2,1,4,7,2,5.12,8.0,53.0,79.8,False,0.763,0.43,97.0,389800.0,383926.0
1581,Old Town,1.5Story,9737.0,901.0,960.0,654.0,1934,1949,5,9,2,0,5,6,0,11.32,8.0,64.9,64.8,False,1.301,0.762,4.0,278000.0,274716.0
1582,Hillcrest,1.5Story,5488.0,1142.0,1432.0,426.0,2004,2017,6,2,3,2,5,10,0,7.3,4.0,11.6,54.9,False,-1.274,0.784,63.0,323000.0,331704.0
1583,Hillcrest,SplitLevel,7798.0,1415.0,1892.0,335.0,2003,2022,3,9,1,2,5,6,1,7.98,6.0,56.2,41.5,False,1.528,0.543,41.0,317500.0,321729.0
1584,Lakeside,SplitLevel,11863.0,2271.0,1334.0,251.0,1938,1957,8,1,2,2,2,6,0,5.9,3.0,2.2,66.4,False,-0.78,0.872,16.0,428000.0,440142.0
1585,Suburbia,1.5Story,8724.0,1737.0,1037.0,379.0,1924,1929,1,8,2,0,3,4,2,4.2,6.0,54.3,58.3,True,0.669,0.755,78.0,319600.0,307887.0
1586,Old Town,1.5Story,12539.0,1452.0,1132.0,257.0,1952,1952,7,2,3,2,4,6,0,6.71,6.0,22.2,65.9,False,2.801,0.797,0.0,302100.0,311329.0
1587,Hillcrest,1Story,12049.0,2244.0,1058.0,782.0,1941,1959,7,7,2,2,4,7,1,4.44,1.0,50.8,30.7,False,-1.59,0.793,28.0,405200.0,383366.0
1588,Riverside,SplitLevel,8125.0,2376.0,958.0,530.0,1958,1981,8,9,2,1,3,4,1,15.99,,63.9,40.7,False,0.505,0.729,40.0,367400.0,361995.0
1589,Hillcrest,1Story,3577.0,1840.0,1859.0,445.0,1998,2026,3,9,3,1,6,10,1,0.49,10.0,38.6,77.2,False,-0.314,0.856,69.0,413700.0,408832.0
1590,Lakeside,SplitLevel,5503.0,1401.0,635.0,736.0,1941,1949,2,6,1,1,3,5,2,7.27,6.0,34.1,38.6,False,0.447,0.097,22.0,306500.0,322882.0
1591,Lakeside,2Story,10585.0,1999.0,1435.0,,1921,1924,6,10,1,2,4,4,0,1.79,1.0,33.0,64.6,False,-0.619,0.504,5.0,438500.0,430261.0
1592,Downtown,1Story,4710.0,1722.0,897.0,438.0,1913,1937,10,2,2,0,5,7,2,0.57,4.0,25.6,53.0,False,-2.479,0.825,77.0,387800.0,390514.0
1593,Old Town,1.5Story,7228.0,1717.0,328.0,0.0,1986,2022,8,3,2,2,3,4,2,3.1,9.0,57.5,51.9,False,-0.754,0.109,8.0,271500.0,278479.0
1594,Hillcrest,2Story,9122.0,1568.0,871.0,437.0,1925,1934,3,2,2,1,4,5,1,1.87,,32.8,69.5,False,0.347,0.155,46.0,337400.0,345526.0
1595,Suburbia,2Story,13553.0,2359.0,720.0,851.0,1927,1930,5,8,3,0,5,10,1,3.24,9.0,0.0,68.5,False,1.349,0.402,66.0,413700.0,429083.0
1596,Suburbia,SplitLevel,6626.0,1987.0,1193.0,0.0,2001,2017,3,9,1,0,3,3,0,2.38,7.0,52.7,77.8,False,0.406,0.564,63.0,316000.0,315869.0
1597,Lakeside,1Story,6469.0,2420.0,988.0,669.0,1911,1933,8,10,1,0,6,9,2,8.98,8.0,51.6,48.2,False,1.473,0.724,10.0,456500.0,458516.0
1598,Lakeside,2Story,7956.0,2585.0,521.0,674.0,1982,2007,6,6,3,2,4,7,2,8.63,3.0,35.9,52.1,False,-0.493,0.561,60.0,424600.0,440852.0
1599,Suburbia,1Story,9162.0,2102.0,1568.0,460.0,1901,1905,5,2,3,1,5,8,1,0.92,9.0,19.2,88.2,False,-0.575,0.217,1.0,407500.0,401101.0
1600,Lakeside,1Story,7677.0,1571.0,1408.0,382.0,2018,2026,1,2,2,1,5,8,2,7.76,8.0,11.8,64.0,False,0.343,0.848,3.0,391600.0,365244.0
1601,Old Town,1Story,11699.0,2422.0,1616.0,442.0,1989,2003,7,7,1,1,6,9,1,15.24,3.0,19.3,74.6,True,-0.375,0.265,23.0,392000.0,409611.0
1602,Downtown,SplitLevel,6126.0,2106.0,1050.0,302.0,2003,2004,5,9,2,2,5,8,2,3.08,,39.0,59.1,False,1.123,0.858,70.0,384800.0,386221.0
1603,Suburbia,SplitLevel,8451.0,3282.0,935.0,449.0,1983,2020,1,10,2,2,4,5,2,1.18,8.0,0.0,76.2,False,-1.406,0.495,21.0,447800.0,427271.0
1604,Suburbia,1.5Story,9469.0,2021.0,1245.0,459.0,1950,1971,2,8,2,2,5,9,1,7.57,,43.5,23.2,False,0.863,0.04,82.0,281200.0,290813.0
1605,Lakeside,1.5Story,7044.0,2234.0,707.0,730.0,2025,2026,8,9,1,2,4,7,1,2.09,7.0,36.5,88.7,True,1.208,0.48,13.0,508400.0,502922.0
1606,Lakeside,1Story,10871.0,2010.0,1005.0,,1999,2026,8,5,2,0,6,10,1,1.91,5.0,60.7,59.8,False,0.365,0.654,47.0,428000.0,423122.0
1607,Old Town,SplitLevel,8537.0,1795.0,876.0,838.0,1911,1943,5,2,1,1,4,4,0,5.25,3.0,49.0,45.5,False,0.913,0.88,48.0,294000.0,285875.0
1608,Lakeside,2Story,10680.0,1708.0,336.0,120.0,1972,1980,8,5,2,1,5,9,0,8.69,2.0,20.5,48.9,False,-0.649,0.582,58.0,384300.0,361646.0
1609,Hillcrest,2Story,8673.0,2012.0,1004.0,265.0,1968,2007,8,1,2,0,3,5,0,4.46,8.0,1.2,63.3,False,-0.831,0.991,38.0,382700.0,404848.0
1610,Hillcrest,SplitLevel,9244.0,2137.0,765.0,,1936,1957,7,7,2,2,2,4,0,9.2,4.0,18.6,66.0,False,0.352,0.381,14.0,389000.0,386607.0
1611,Lakeside,SplitLevel,6494.0,2485.0,848.0,699.0,1957,1967,3,4,3,2,4,8,0,4.6,6.0,62.6,70.5,False,-0.722,0.246,72.0,408100.0,414331.0
1612,Suburbia,1Story,6498.0,2020.0,1103.0,442.0,2022,2026,5,4,1,2,6,8,2,0.95,3.0,40.9,46.5,False,0.301,0.443,65.0,317500.0,318015.0
1613,Suburbia,1.5Story,12438.0,1595.0,1484.0,225.0,1910,1917,9,1,1,2,5,5,1,5.41,,46.9,83.7,False,0.302,0.658,65.0,350700.0,350163.0
1614,Hillcrest,1Story,10122.0,1670.0,594.0,421.0,2016,2026,4,10,3,0,3,5,0,2.65,1.0,22.4,58.6,False,-0.067,0.095,93.0,327900.0,331526.0
1615,Suburbia,1Story,5664.0,1122.0,809.0,268.0,1988,1999,7,5,1,0,6,8,2,13.34,10.0,44.7,57.7,True,0.282,0.09,88.0,284700.0,298139.0
1616,Lakeside,2Story,8633.0,2764.0,629.0,0.0,1914,1931,9,8,3,2,5,10,0,9.39,4.0,4.6,63.9,False,0.635,0.624,71.0,455000.0,467577.0
1617,Downtown,2Story,3530.0,1552.0,601.0,780.0,1938,1940,6,6,2,2,4,5,2,10.56,6.0,53.7,79.9,False,-0.1,0.384,43.0,416100.0,389752.0
1618,Riverside,1Story,6628.0,2382.0,700.0,404.0,2005,2026,6,7,2,1,6,9,0,2.44,5.0,11.9,67.4,False,-0.477,0.783,1.0,374100.0,391223.0
1619,Old Town,1Story,11343.0,2002.0,867.0,488.0,1988,2000,2,5,2,0,5,7,0,8.93,4.0,0.0,58.2,False,0.823,0.264,21.0,316400.0,301180.0
1620,Downtown,1Story,7756.0,2017.0,1196.0,445.0,1909,1935,5,7,3,0,3,5,0,5.22,9.0,80.2,62.2,False,0.273,0.433,30.0,375100.0,387867.0
1621,Lakeside,2Story,8444.0,1785.0,1085.0,0.0,1918,1932,1,2,2,0,2,6,1,5.39,10.0,37.7,89.9,False,0.451,0.515,29.0,376800.0,375590.0
1622,Riverside,SplitLevel,2819.0,1417.0,506.0,325.0,2017,2026,2,10,3,0,3,7,2,26.83,,37.1,87.0,False,0.583,0.942,95.0,301700.0,277338.0
1623,Suburbia,1Story,7064.0,1317.0,1494.0,410.0,1919,1941,6,5,1,0,2,3,1,3.33,1.0,0.0,74.6,False,0.149,0.007,6.0,339000.0,329187.0
1624,Downtown,SplitLevel,9122.0,2801.0,1347.0,514.0,1978,1989,3,1,1,1,2,3,0,1.12,4.0,47.5,70.7,False,-0.344,0.217,66.0,397800.0,415571.0
1625,Hillcrest,2Story,9536.0,1913.0,572.0,,2025,2026,4,10,1,1,4,5,0,12.5,2.0,52.7,109.6,True,-0.617,0.092,48.0,407200.0,411322.0
1626,Suburbia,1Story,11348.0,2469.0,1464.0,612.0,1920,1944,4,1,1,1,6,9,1,20.02,,31.0,76.3,False,-0.088,0.991,32.0,360800.0,361146.0
1627,Hillcrest,SplitLevel,7528.0,2612.0,1087.0,0.0,1905,1913,5,5,3,1,5,10,1,3.91,9.0,52.8,71.3,False,0.482,0.132,73.0,406000.0,393218.0
1628,Lakeside,1Story,7647.0,1624.0,884.0,618.0,2002,2007,7,8,1,2,4,4,2,1.71,1.0,58.4,64.4,True,0.528,0.823,60.0,409300.0,408670.0
1629,Lakeside,2Story,5084.0,2083.0,1100.0,536.0,2019,2026,5,4,1,0,3,6,0,4.43,1.0,45.5,74.4,False,0.144,0.52,84.0,407400.0,409354.0
1630,Hillcrest,2Story,7543.0,1875.0,939.0,360.0,1964,1981,9,3,2,0,5,7,0,0.84,4.0,0.0,22.0,False,0.352,0.782,16.0,388500.0,367258.0
1631,Riverside,2Story,5211.0,1214.0,1179.0,0.0,1929,1937,5,3,1,0,4,6,2,3.01,6.0,12.0,86.5,False,-1.105,0.302,27.0,350100.0,330517.0
1632,Suburbia,1Story,4244.0,1748.0,1029.0,0.0,1907,1918,10,7,1,0,2,5,0,12.2,5.0,68.7,45.1,True,-0.464,0.475,92.0,322800.0,314142.0
1633,Suburbia,1Story,5542.0,2173.0,808.0,468.0,2014,2026,10,6,2,0,4,6,2,5.75,8.0,36.6,55.1,False,0.671,0.978,87.0,375900.0,383688.0
1634,Suburbia,2Story,13740.0,1576.0,99.0,537.0,2000,2026,5,6,2,2,2,4,1,2.22,8.0,36.7,42.8,False,-0.833,0.095,38.0,267700.0,300530.0
1635,Old Town,1Story,7371.0,1671.0,1171.0,322.0,2012,2026,8,6,3,2,4,8,1,12.39,1.0,18.4,54.7,False,0.141,0.621,40.0,297100.0,312971.0
1636,Hillcrest,2Story,8751.0,1755.0,793.0,779.0,1999,2026,5,4,2,0,2,4,0,0.85,8.0,22.3,61.9,False,0.052,0.958,19.0,369400.0,388470.0
1637,Hillcrest,1Story,6770.0,3011.0,1277.0,0.0,1954,1971,9,10,3,2,3,6,2,1.03,1.0,58.9,84.0,False,-0.114,0.127,7.0,460400.0,461121.0
1638,Old Town,1.5Story,4330.0,841.0,1152.0,552.0,1960,1998,8,3,1,0,6,8,0,2.58,10.0,65.0,91.2,True,0.679,0.84,7.0,335700.0,324051.0
1639,Lakeside,2Story,11245.0,2126.0,804.0,519.0,1948,1985,4,9,1,0,2,3,0,6.0,,50.9,102.9,False,0.227,0.276,0.0,467500.0,443032.0
1640,Suburbia,2Story,3789.0,1711.0,1380.0,563.0,1992,2001,4,8,2,0,2,5,1,15.17,10.0,46.0,69.8,True,-1.197,0.201,3.0,385500.0,369694.0
1641,Suburbia,2Story,6673.0,1498.0,1036.0,347.0,1912,1919,9,1,1,2,3,3,0,0.56,10.0,47.5,64.1,True,0.516,0.166,37.0,352400.0,361188.0
1642,Downtown,2Story,7950.0,1697.0,1019.0,,1905,1941,6,2,1,1,6,6,0,6.54,2.0,33.6,82.0,False,-0.507,0.736,64.0,396000.0,392815.0
1643,Riverside,1Story,8784.0,2217.0,892.0,443.0,2021,2026,7,6,2,2,6,7,0,1.77,4.0,10.9,52.6,False,-1.364,0.036,64.0,388900.0,383954.0
1644,Lakeside,2Story,6284.0,2248.0,1657.0,0.0,1940,1974,7,2,2,1,5,7,1,0.59,2.0,6.6,50.6,False,0.742,0.421,68.0,407800.0,427050.0
1645,Lakeside,2Story,4259.0,1952.0,650.0,285.0,1904,1922,2,9,1,1,5,5,2,0.77,10.0,61.3,61.4,False,-1.186,0.697,64.0,366700.0,377530.0
1646,Riverside,SplitLevel,6122.0,2451.0,814.0,0.0,1984,2019,3,5,1,2,6,7,2,11.07,5.0,34.3,67.4,False,-0.355,0.14,65.0,326300.0,331639.0
1647,Hillcrest,SplitLevel,6235.0,2548.0,430.0,205.0,1950,1981,10,9,1,2,3,4,2,8.37,9.0,44.5,30.8,True,0.294,0.224,38.0,434900.0,408510.0
1648,Suburbia,2Story,6182.0,2299.0,1255.0,748.0,1929,1959,3,2,1,1,4,4,0,3.43,6.0,39.2,87.2,False,-0.073,0.152,31.0,389200.0,384419.0
1649,Old Town,1Story,11379.0,1550.0,705.0,628.0,1954,1978,9,1,3,2,2,6,0,0.74,9.0,40.2,72.3,False,-0.624,0.026,42.0,326100.0,342319.0
1650,Suburbia,1Story,5299.0,2122.0,753.0,0.0,1956,1966,4,7,1,0,4,5,0,8.39,6.0,41.9,82.4,False,-0.994,0.457,79.0,308400.0,313672.0
1651,Lakeside,SplitLevel,9003.0,2125.0,733.0,735.0,1977,2007,9,9,3,2,6,8,0,8.9,1.0,48.9,39.7,False,-0.76,0.497,54.0,420400.0,414798.0
1652,Lakeside,SplitLevel,8565.0,1401.0,976.0,404.0,2017,2026,6,10,3,0,2,5,0,1.08,5.0,19.6,56.0,False,-1.077,0.946,83.0,380700.0,383775.0
1653,Lakeside,2Story,11341.0,987.0,425.0,321.0,2011,2026,1,8,1,0,5,5,1,6.04,7.0,58.6,55.1,False,-0.126,0.728,33.0,288600.0,293006.0
1654,Downtown,2Story,7734.0,737.0,8.0,120.0,2004,2026,3,8,1,2,4,6,0,12.29,10.0,20.2,64.4,False,-0.545,0.97,60.0,285000.0,275985.0
1655,Old Town,1Story,10688.0,1888.0,1142.0,395.0,1962,1963,10,1,2,1,6,8,0,26.37,9.0,39.8,67.4,False,-1.379,0.757,64.0,361200.0,343865.0
1656,Hillcrest,SplitLevel,7629.0,2014.0,62.0,743.0,1970,2000,3,7,2,0,4,7,1,6.02,6.0,11.3,83.7,False,-0.289,0.979,61.0,383200.0,368157.0
1657,Lakeside,SplitLevel,9434.0,1200.0,1309.0,0.0,1916,1926,3,8,1,0,4,4,2,5.19,9.0,31.7,69.8,False,-0.643,0.248,10.0,345300.0,348994.0
1658,Suburbia,2Story,4788.0,2425.0,1605.0,426.0,1972,1980,2,4,3,0,2,5,1,10.64,10.0,21.8,54.7,False,0.268,0.168,19.0,369800.0,371879.0
1659,Hillcrest,1Story,3218.0,1934.0,881.0,371.0,1984,1987,7,10,2,2,4,8,1,9.32,9.0,35.5,107.4,False,0.362,0.391,62.0,423800.0,427644.0
1660,Downtown,2Story,9248.0,2592.0,1496.0,520.0,2011,2017,9,10,2,0,6,7,0,9.37,10.0,49.7,63.2,False,1.342,0.492,85.0,512200.0,499171.0
1661,Lakeside,1.5Story,9423.0,2054.0,940.0,666.0,1905,1925,10,9,3,2,2,7,2,2.18,4.0,36.5,51.7,False,0.648,0.825,48.0,302400.0,465301.0
1662,Suburbia,SplitLevel,9570.0,1264.0,1622.0,214.0,2008,2019,9,9,1,2,2,3,0,13.85,5.0,74.2,34.1,False,-1.088,0.541,8.0,266800.0,290549.0
1663,Suburbia,1Story,6743.0,2102.0,758.0,0.0,1965,1980,9,6,3,0,6,8,2,26.01,1.0,50.9,69.6,False,-2.173,0.952,86.0,323700.0,317690.0
1664,Lakeside,2Story,13649.0,2219.0,0.0,698.0,1911,1931,10,9,2,2,3,4,0,4.28,2.0,30.4,80.4,False,-1.519,0.289,80.0,475200.0,468652.0
1665,Old Town,1Story,6898.0,1549.0,916.0,577.0,2025,2026,6,1,2,1,5,7,2,10.16,9.0,33.3,47.5,False,-0.503,0.579,81.0,289200.0,294216.0
1666,Suburbia,1Story,9389.0,1057.0,1667.0,418.0,1958,1975,9,3,1,1,5,8,2,11.29,4.0,42.6,79.2,False,-1.608,0.652,41.0,357900.0,334924.0
1667,Suburbia,SplitLevel,9978.0,1905.0,1175.0,733.0,1951,1969,7,7,1,1,4,5,1,14.4,5.0,49.1,69.5,True,-0.616,0.156,64.0,372900.0,379643.0
1668,Lakeside,1Story,14788.0,1300.0,734.0,242.0,1924,1960,2,2,3,0,4,6,1,1.92,4.0,10.3,36.1,False,0.032,0.786,9.0,320900.0,303329.0
1669,Downtown,SplitLevel,7252.0,2466.0,1088.0,609.0,1909,1920,1,9,2,2,5,7,2,5.18,10.0,47.7,79.3,False,-0.563,0.639,2.0,407400.0,423946.0
1670,Suburbia,2Story,6447.0,1626.0,1358.0,0.0,1910,1910,1,2,3,2,3,8,2,16.21,9.0,10.8,63.2,False,0.279,0.192,6.0,293900.0,290494.0
1671,Hillcrest,2Story,4797.0,2799.0,914.0,557.0,1933,1965,4,4,3,0,2,7,0,7.11,8.0,45.8,47.7,False,-0.609,0.414,42.0,394000.0,404005.0
1672,Suburbia,1Story,13951.0,682.0,2053.0,120.0,1936,1939,5,3,2,0,6,9,1,3.95,10.0,57.0,85.2,False,-0.762,0.641,98.0,302900.0,303827.0
1673,Suburbia,2Story,9391.0,1924.0,733.0,418.0,1958,1989,7,6,1,1,2,5,2,3.29,6.0,41.0,84.9,False,1.708,0.733,5.0,304200.0,374691.0
1674,Downtown,2Story,9495.0,2636.0,1371.0,578.0,1976,1989,6,1,1,1,2,5,1,12.04,2.0,0.0,47.3,False,-0.033,0.417,56.0,429300.0,436376.0
1675,Suburbia,1.5Story,24121.0,1360.0,1270.0,450.0,2024,2026,4,9,2,2,5,7,2,4.11,7.0,0.0,73.3,False,0.112,0.722,75.0,357000.0,365598.0
1676,Old Town,2Story,9079.0,1762.0,656.0,661.0,2000,2006,8,9,3,2,4,9,1,4.46,1.0,46.3,71.7,False,0.844,0.261,44.0,347800.0,350599.0
1677,Suburbia,2Story,5137.0,1628.0,772.0,655.0,1961,1967,9,8,2,0,3,4,0,5.03,5.0,0.0,66.8,True,0.877,0.305,5.0,443500.0,396990.0
1678,Hillcrest,2Story,7566.0,1474.0,1378.0,307.0,2014,2026,3,2,2,0,2,6,0,5.15,9.0,47.2,58.7,False,-0.366,0.012,92.0,333100.0,330602.0
1679,Suburbia,2Story,5761.0,1985.0,1011.0,592.0,1970,1987,3,3,2,1,3,6,0,3.98,2.0,54.7,65.3,False,1.046,0.488,89.0,317700.0,315931.0
1680,Riverside,SplitLevel,7055.0,1138.0,1092.0,301.0,1953,1982,10,3,1,1,2,4,2,6.32,6.0,57.7,84.9,False,-0.449,0.188,46.0,351200.0,345774.0
1681,Suburbia,SplitLevel,7038.0,1789.0,263.0,469.0,1927,1953,10,7,2,2,4,8,2,4.53,8.0,30.2,75.4,False,1.016,0.602,84.0,346100.0,367323.0
1682,Suburbia,2Story,6598.0,2134.0,1226.0,565.0,1953,1993,4,9,3,1,4,7,1,1.33,8.0,43.8,33.3,False,-1.234,0.966,84.0,366800.0,355384.0
1683,Suburbia,1.5Story,4976.0,1732.0,1071.0,326.0,1905,1932,6,9,3,0,6,8,1,0.85,6.0,39.2,29.4,True,-0.307,1.0,65.0,337100.0,328347.0
1684,Hillcrest,1.5Story,14149.0,1300.0,923.0,586.0,1919,1927,6,10,2,2,6,9,1,3.94,4.0,5.5,34.6,True,0.223,0.374,85.0,345000.0,367080.0
1685,Downtown,SplitLevel,8997.0,2417.0,1102.0,379.0,2019,2022,7,7,1,1,4,6,2,6.74,3.0,49.9,43.6,False,0.361,0.734,69.0,427500.0,397732.0
1686,Lakeside,1Story,7488.0,2252.0,778.0,367.0,1924,1934,9,3,3,1,4,6,1,0.71,2.0,62.8,54.4,False,-0.844,0.961,75.0,407800.0,407736.0
1687,Riverside,2Story,10564.0,1277.0,701.0,0.0,1971,2011,2,4,3,2,5,8,1,12.02,8.0,48.8,59.9,False,-1.649,0.523,11.0,253000.0,266860.0
1688,Riverside,1Story,9556.0,1138.0,848.0,0.0,1912,1943,6,3,3,1,3,6,1,14.04,3.0,24.9,66.8,False,0.46,0.334,9.0,282400.0,278533.0
1689,Riverside,SplitLevel,8924.0,1326.0,755.0,318.0,1975,2005,3,1,2,2,5,9,0,8.34,7.0,49.8,67.4,False,-0.207,0.156,15.0,263100.0,274349.0
1690,Hillcrest,1.5Story,10298.0,2150.0,1866.0,627.0,2022,2026,8,9,1,1,2,5,2,2.5,1.0,61.0,67.1,False,-0.391,0.176,95.0,421000.0,440954.0
1691,Suburbia,1Story,8492.0,2002.0,1333.0,477.0,1957,1976,6,6,2,1,6,7,2,5.41,3.0,58.3,88.6,False,1.654,0.854,41.0,366100.0,369433.0
1692,Old Town,2Story,10245.0,2285.0,543.0,227.0,1916,1944,8,10,1,1,6,8,0,5.91,4.0,55.5,37.8,False,-0.293,0.259,62.0,320700.0,323518.0
1693,Lakeside,1.5Story,10547.0,1671.0,1805.0,597.0,1902,1940,10,9,3,1,6,10,0,3.73,8.0,3.2,74.0,False,-0.517,0.271,57.0,486700.0,506133.0
1694,Suburbia,SplitLevel,8578.0,1341.0,768.0,395.0,1995,2018,8,7,2,1,3,5,1,2.5,1.0,43.0,73.9,False,-1.8,0.747,40.0,300700.0,310354.0
1695,Suburbia,1Story,7502.0,2355.0,962.0,236.0,1912,1912,9,1,1,0,5,8,2,11.62,5.0,47.9,45.3,False,-1.083,0.837,70.0,326200.0,339029.0
1696,Riverside,1.5Story,13844.0,1546.0,1327.0,120.0,1940,1975,9,5,3,0,4,9,0,7.8,5.0,55.8,77.6,True,0.876,0.208,76.0,378500.0,382914.0
1697,Lakeside,1Story,6855.0,1953.0,123.0,605.0,2006,2026,7,5,2,1,6,7,2,13.09,4.0,45.3,74.7,False,-0.725,0.689,95.0,399500.0,391447.0
1698,Suburbia,1Story,9292.0,998.0,850.0,322.0,1967,1968,4,7,1,0,2,3,0,3.09,8.0,66.0,67.2,False,0.629,0.447,7.0,262600.0,260809.0
1699,Old Town,1Story,9366.0,1537.0,709.0,261.0,2010,2026,4,6,3,1,3,7,0,11.26,10.0,0.0,24.5,False,-1.293,0.277,35.0,261600.0,261992.0
1700,Suburbia,1.5Story,6546.0,2405.0,1036.0,0.0,2009,2026,4,8,1,1,2,5,0,0.98,1.0,46.2,85.3,False,-0.869,0.52,17.0,317800.0,340419.0
1701,Old Town,SplitLevel,6107.0,1456.0,1105.0,589.0,1983,2022,7,1,2,0,6,9,1,2.88,10.0,44.6,72.1,False,-0.895,0.777,54.0,321600.0,321935.0
1702,Old Town,1Story,7159.0,2298.0,918.0,334.0,2017,2026,9,2,2,1,2,6,1,6.11,9.0,53.1,75.3,True,0.477,0.099,67.0,370900.0,384385.0
1703,Hillcrest,1Story,6821.0,568.0,,606.0,1904,1943,4,10,1,0,2,4,1,4.41,9.0,65.8,22.0,False,-0.212,0.071,17.0,233800.0,255051.0
1704,Suburbia,1Story,4864.0,1542.0,1397.0,789.0,1930,1930,6,5,1,1,2,3,1,8.63,2.0,17.2,58.4,False,-1.111,0.912,62.0,346800.0,335984.0
1705,Riverside,2Story,6451.0,1756.0,1077.0,675.0,1934,1940,5,9,3,1,6,8,2,4.23,4.0,65.2,42.2,False,0.714,0.963,5.0,334100.0,350520.0
1706,Old Town,2Story,8894.0,2808.0,967.0,651.0,2014,2026,7,9,1,1,4,4,2,6.25,7.0,51.3,91.3,False,0.494,0.529,52.0,443100.0,441973.0
1707,Downtown,2Story,12621.0,1207.0,1012.0,510.0,1978,2002,9,2,1,1,2,5,2,4.89,3.0,31.3,48.1,True,0.34,0.144,97.0,377500.0,383487.0
1708,Hillcrest,1Story,9838.0,2219.0,1721.0,0.0,1931,1947,5,8,3,2,3,8,1,1.43,3.0,16.8,94.6,False,0.295,0.079,67.0,413700.0,425536.0
1709,Suburbia,2Story,3262.0,2431.0,1023.0,451.0,1926,1936,4,2,1,1,4,7,0,12.15,6.0,38.9,85.2,False,-0.854,0.156,78.0,379100.0,364021.0
1710,Hillcrest,1Story,10142.0,1453.0,734.0,531.0,2001,2011,3,2,2,1,6,7,2,4.0,9.0,40.7,72.0,True,1.259,0.283,94.0,339800.0,347204.0
1711,Suburbia,1.5Story,6665.0,1645.0,148.0,259.0,2008,2026,5,3,1,1,3,6,2,12.87,2.0,41.8,88.4,False,-0.101,0.684,52.0,271600.0,278200.0
1712,Hillcrest,2Story,9496.0,1928.0,348.0,337.0,1901,1941,5,8,2,2,2,6,2,3.97,1.0,22.5,51.0,False,0.268,0.11,13.0,335100.0,344235.0
1713,Old Town,1Story,8063.0,1035.0,754.0,232.0,1946,1979,2,1,3,1,5,10,2,2.75,,47.2,54.2,True,0.383,0.137,58.0,238200.0,236022.0
1714,Old Town,SplitLevel,7575.0,1600.0,904.0,498.0,1967,1974,10,7,1,0,4,5,0,15.9,5.0,26.9,84.6,False,-0.945,0.713,34.0,345500.0,347480.0
1715,Hillcrest,1Story,7818.0,2552.0,717.0,473.0,1929,1935,9,4,1,2,2,3,1,0.76,1.0,59.3,51.1,True,1.896,0.257,95.0,399000.0,407680.0
1716,Suburbia,2Story,8040.0,2137.0,1097.0,356.0,1991,2001,3,3,2,2,4,6,2,11.8,10.0,69.2,44.1,False,-0.027,0.216,29.0,303800.0,315239.0
